35	6	76	91	4	82	45	67	7	59	95	11	4	52	15	30	49
8	30	49	79	12	93	23	47	53	96	100	38	87	14	33	100	100
30	56	86	52	1	90	47	17	70	4	52	13	57	82	84	13	28
43	69	81	8	84	71	23	13	24	79	72	39	60	39	37	3	91
11	75	33	15	48	83	82	88	48	27	48	76	8	74	97	33	49
54	34	53	58	21	14	79	1	16	99	12	37	6	72	50	14	79
49	14	61	99	49	54	4	40	94	59	78	94	52	74	28	42	10
9	47	24	12	56	98	35	12	77	96	60	44	62	28	18	77	67
45	29	72	86	27	81	94	72	35	17	71	38	44	93	68	34	17
83	32	37	89	39	21	96	68	78	19	62	64	21	49	12	90	63
93	89	83	46	87	19	38	35	8	15	78	84	57	62	65	42	56
96	77	24	26	74	27	58	49	22	13	62	59	92	62	72	4	7
70	79	73	15	66	54	67	88	96	87	95	66	46	42	69	68	3
66	57	98	88	77	92	10	82	71	54	3	84	36	94	55	31	75
79	60	11	49	26	96	30	6	84	93	92	39	7	92	51	34	5
0	26	28	55	15	12	91	53	28	72	15	71	90	56	52	2	74
90	34	89	9	30	32	91	1	90	73	84	14	62	38	4	48	73
98	64	40	73	17	32	31	63	91	88	95	8	12	55	65	44	6
8	9	57	56	95	18	1	20	42	75	39	80	32	42	74	64	83
1	70	22	93	99	29	71	12	80	37	48	73	2	34	55	64	25
61	81	100	38	95	73	27	46	81	23	99	81	46	73	95	30	13
69	12	97	36	94	41	54	68	47	83	27	83	91	45	95	54	10
26	91	30	74	9	9	3	84	72	90	28	89	17	22	26	67	0
52	12	29	61	85	32	64	90	13	35	84	31	68	24	73	80	73
67	44	38	17	61	73	47	34	2	60	97	65	41	63	10	67	86
68	50	17	61	89	82	91	53	37	49	46	90	98	20	44	50	80
60	59	39	92	12	26	65	50	30	68	45	69	59	28	34	82	16
78	82	14	5	41	23	72	45	12	67	72	18	45	62	19	11	94
82	68	57	82	5	7	58	39	12	74	58	57	67	67	39	26	36
53	11	89	43	2	14	95	8	98	36	64	40	3	65	85	30	1
64	91	68	12	35	54	65	60	21	29	45	76	19	70	92	79	35
56	60	22	54	14	75	6	61	32	41	71	32	0	14	76	62	87
30	78	7	16	34	97	31	48	77	20	52	79	87	43	58	17	36
12	35	99	50	77	51	21	62	48	88	48	12	9	56	20	65	17
89	89	44	55	75	1	58	17	5	42	40	52	51	13	27	29	35
5	27	26	83	92	71	72	76	47	40	70	31	66	48	39	50	8
59	19	61	89	52	100	74	33	81	54	59	75	81	97	77	10	97
